calc_days,data_well_name_id,total_fluid_bpd
1.750,COOPER 12H,4632
1.750,COOPER 13H,4320
1.750,COOPER 14H,5688
1.750,COOPER 15H,5280
1.750,COOPER 81H,3648
1.750,COOPER 82H,4728
1.750,COOPER 83H,4992
1.750,COOPER 84H,4560
1.792,COOPER 11H,4608
1.792,COOPER 12H,4704
1.792,COOPER 13H,4344
1.792,COOPER 14H,5592
1.792,COOPER 15H,5376
1.792,COOPER 81H,3552
1.792,COOPER 82H,4680
1.792,COOPER 83H,5064
1.792,COOPER 84H,4512
1.833,COOPER 11H,4656
1.833,COOPER 12H,4680
1.833,COOPER 13H,5352
1.833,COOPER 14H,5736
1.833,COOPER 15H,5328
1.833,COOPER 81H,3648
1.833,COOPER 82H,4680
1.833,COOPER 83H,5232
1.833,COOPER 84H,4584
1.875,COOPER 11H,4560
1.875,COOPER 12H,4632
1.875,COOPER 13H,5376
1.875,COOPER 14H,5736
1.875,COOPER 15H,5880
1.875,COOPER 81H,3576
1.875,COOPER 82H,4752
1.875,COOPER 83H,5208
1.875,COOPER 84H,4680
1.917,COOPER 11H,4608
1.917,COOPER 12H,4632
1.917,COOPER 13H,5352
1.917,COOPER 14H,5544
1.917,COOPER 15H,6552
1.917,COOPER 81H,3552
1.917,COOPER 82H,4752
1.917,COOPER 83H,5280
1.917,COOPER 84H,4536
1.958,COOPER 11H,4704
1.958,COOPER 12H,4632
1.958,COOPER 13H,5496
1.958,COOPER 14H,5496
1.958,COOPER 15H,8280
1.958,COOPER 81H,3504
1.958,COOPER 82H,4728
1.958,COOPER 83H,5208
1.958,COOPER 84H,4560
2.000,COOPER 11H,4752
2.000,COOPER 12H,4608
2.000,COOPER 13H,5448
2.000,COOPER 14H,5448
2.000,COOPER 15H,7992
2.000,COOPER 81H,3456
2.000,COOPER 82H,4728
2.000,COOPER 83H,5232
2.000,COOPER 84H,4560
2.042,COOPER 11H,4680
2.042,COOPER 12H,4608
2.042,COOPER 13H,5496
2.042,COOPER 14H,5496
2.042,COOPER 15H,7680
2.042,COOPER 81H,3456
2.042,COOPER 82H,4656
2.042,COOPER 83H,5304
2.042,COOPER 84H,4536
2.083,COOPER 11H,4776
2.083,COOPER 12H,4632
2.083,COOPER 13H,5544
2.083,COOPER 14H,5640
2.083,COOPER 15H,7776
2.083,COOPER 81H,3552
2.083,COOPER 82H,4680
2.083,COOPER 83H,5256
2.083,COOPER 84H,4488
2.125,COOPER 11H,4656
2.125,COOPER 12H,4560
2.125,COOPER 13H,5472
2.125,COOPER 14H,5568
2.125,COOPER 15H,7728
2.125,COOPER 81H,3648
2.125,COOPER 82H,4608
2.125,COOPER 83H,5256
2.125,COOPER 84H,4488
2.167,COOPER 11H,4752
2.167,COOPER 12H,4632
2.167,COOPER 13H,5376
2.167,COOPER 14H,5568
2.167,COOPER 15H,7608
2.167,COOPER 81H,3552
2.167,COOPER 82H,4656
2.167,COOPER 83H,5184
2.167,COOPER 84H,4440
2.208,COOPER 11H,4656
2.208,COOPER 12H,4560
2.208,COOPER 13H,5448
2.208,COOPER 14H,5496
2.208,COOPER 15H,7704
2.208,COOPER 81H,3528
2.208,COOPER 82H,4608
2.208,COOPER 83H,5136
2.208,COOPER 84H,4392
2.250,COOPER 11H,4608
2.250,COOPER 12H,4680
2.250,COOPER 13H,5544
2.250,COOPER 14H,5592
2.250,COOPER 15H,7728
2.250,COOPER 81H,3576
2.250,COOPER 82H,4488
2.250,COOPER 83H,5136
2.250,COOPER 84H,4344
2.292,COOPER 11H,4704
2.292,COOPER 12H,4752
2.292,COOPER 13H,5640
2.292,COOPER 14H,5544
2.292,COOPER 15H,7584
2.292,COOPER 81H,3456
2.292,COOPER 82H,4704
2.292,COOPER 83H,5184
2.292,COOPER 84H,4344
2.333,COOPER 11H,4536
2.333,COOPER 12H,4824
2.333,COOPER 13H,5688
2.333,COOPER 14H,6960
2.333,COOPER 15H,7512
2.333,COOPER 81H,3432
2.333,COOPER 82H,4776
2.333,COOPER 83H,5208
2.333,COOPER 84H,5640
2.375,COOPER 11H,4440
2.375,COOPER 12H,4920
2.375,COOPER 13H,5640
2.375,COOPER 14H,6984
2.375,COOPER 15H,7608
2.375,COOPER 81H,3408
2.375,COOPER 82H,4728
2.375,COOPER 83H,5088
2.375,COOPER 84H,5808
2.417,COOPER 11H,4512
2.417,COOPER 12H,4920
2.417,COOPER 13H,5592
2.417,COOPER 14H,7032
2.417,COOPER 15H,7536
2.417,COOPER 81H,3408
2.417,COOPER 82H,4752
2.417,COOPER 83H,5016
2.417,COOPER 84H,6480
2.458,COOPER 11H,4368
2.458,COOPER 12H,4848
2.458,COOPER 13H,5400
2.458,COOPER 14H,7008
2.458,COOPER 15H,7512
2.458,COOPER 81H,3456
2.458,COOPER 82H,4872
2.458,COOPER 83H,5064
2.458,COOPER 84H,6624
2.500,COOPER 11H,4272
2.500,COOPER 12H,5016
2.500,COOPER 13H,5544
2.500,COOPER 14H,6984
2.500,COOPER 15H,7488
2.500,COOPER 81H,3552
2.500,COOPER 82H,4800
2.500,COOPER 83H,5040
2.500,COOPER 84H,6840
2.542,COOPER 11H,4392
2.542,COOPER 12H,4992
2.542,COOPER 13H,5568
