calc_days,data_well_name_id,total_fluid_bpd
6.042,COOPER 14H,8304
6.083,COOPER 12H,6528
6.083,COOPER 14H,8160
6.125,COOPER 12H,6528
6.125,COOPER 14H,8136
6.167,COOPER 12H,6408
6.167,COOPER 14H,8064
6.208,COOPER 12H,6456
6.208,COOPER 14H,7992
6.250,COOPER 12H,6504
6.250,COOPER 14H,7992
6.292,COOPER 12H,6432
6.292,COOPER 14H,8016
6.333,COOPER 12H,6432
6.333,COOPER 14H,7968
6.375,COOPER 12H,6264
6.375,COOPER 14H,7968
6.417,COOPER 12H,6168
6.417,COOPER 14H,7896
6.458,COOPER 12H,6192
6.458,COOPER 14H,7896
6.500,COOPER 12H,6144
6.500,COOPER 14H,8040
6.542,COOPER 12H,6168
6.542,COOPER 14H,7920
6.583,COOPER 12H,6072
6.583,COOPER 14H,7920
6.625,COOPER 12H,6072
6.625,COOPER 14H,7896
6.667,COOPER 12H,6024
6.667,COOPER 14H,7824
6.708,COOPER 12H,6024
6.708,COOPER 14H,7896
6.750,COOPER 12H,6072
6.750,COOPER 14H,7800
6.792,COOPER 12H,6024
6.792,COOPER 14H,7824
6.833,COOPER 12H,6024
6.833,COOPER 14H,7848
6.875,COOPER 12H,5952
6.875,COOPER 14H,7824
6.917,COOPER 12H,5976
6.917,COOPER 14H,7728
6.958,COOPER 12H,5904
6.958,COOPER 14H,7728
7.000,COOPER 12H,5904
7.000,COOPER 14H,7776
7.042,COOPER 12H,5928
7.042,COOPER 14H,7632
7.083,COOPER 12H,5856
7.083,COOPER 14H,7752
7.125,COOPER 12H,5808
7.125,COOPER 14H,7704
7.167,COOPER 12H,5784
7.167,COOPER 14H,7776
7.208,COOPER 12H,5808
7.208,COOPER 14H,7680
7.250,COOPER 12H,5808
7.250,COOPER 14H,7656
7.292,COOPER 12H,5784
7.292,COOPER 14H,7680
7.333,COOPER 12H,5760
7.333,COOPER 14H,7680
7.375,COOPER 12H,5784
7.375,COOPER 14H,7704
7.417,COOPER 12H,5784
7.417,COOPER 14H,7632
7.458,COOPER 12H,5784
7.458,COOPER 14H,7632
7.500,COOPER 12H,5760
7.500,COOPER 14H,7632
7.542,COOPER 12H,5880
7.542,COOPER 14H,7608
7.583,COOPER 12H,5904
7.583,COOPER 14H,7704
7.625,COOPER 12H,5856
7.625,COOPER 14H,7632
7.667,COOPER 12H,5808
7.667,COOPER 14H,7608
7.708,COOPER 12H,5880
7.708,COOPER 14H,7560
7.750,COOPER 12H,5856
7.750,COOPER 14H,7632
7.792,COOPER 12H,5880
7.792,COOPER 14H,7536
7.833,COOPER 12H,5832
7.833,COOPER 14H,7608
7.875,COOPER 12H,5784
7.875,COOPER 14H,7560
7.917,COOPER 12H,5712
7.917,COOPER 14H,7560
7.958,COOPER 12H,5736
7.958,COOPER 14H,7440
8.000,COOPER 12H,5712
8.000,COOPER 14H,7440
8.042,COOPER 12H,5712
8.042,COOPER 14H,7440
8.083,COOPER 12H,5784
8.083,COOPER 14H,7392
8.125,COOPER 12H,5832
8.125,COOPER 14H,7440
8.167,COOPER 12H,5808
8.167,COOPER 14H,7392
8.208,COOPER 12H,5856
8.208,COOPER 14H,7368
8.250,COOPER 12H,5784
8.250,COOPER 14H,7368
8.292,COOPER 12H,5808
8.292,COOPER 14H,7296
8.333,COOPER 12H,5856
8.333,COOPER 14H,7320
8.375,COOPER 12H,5832
8.375,COOPER 14H,7320
8.417,COOPER 12H,5832
8.417,COOPER 14H,7272
8.458,COOPER 12H,5856
8.458,COOPER 14H,7224
8.500,COOPER 12H,5856
8.500,COOPER 14H,7248
8.542,COOPER 12H,5952
8.542,COOPER 14H,7224
8.583,COOPER 12H,5880
8.583,COOPER 14H,7248
8.625,COOPER 12H,5856
8.625,COOPER 14H,7200
8.667,COOPER 12H,5880
8.667,COOPER 14H,7176
8.708,COOPER 12H,5928
8.708,COOPER 14H,7152
8.750,COOPER 12H,6432
8.750,COOPER 14H,7104
8.792,COOPER 12H,6600
8.792,COOPER 14H,7152
8.833,COOPER 12H,6576
8.833,COOPER 14H,7104
8.875,COOPER 12H,6528
8.875,COOPER 14H,7128
8.917,COOPER 12H,6480
8.917,COOPER 14H,7056
8.958,COOPER 12H,6504
8.958,COOPER 14H,7128
9.000,COOPER 12H,6408
9.000,COOPER 14H,7008
9.042,COOPER 12H,6384
9.042,COOPER 14H,7032
9.083,COOPER 12H,6456
9.083,COOPER 14H,7056
9.125,COOPER 12H,6288
9.125,COOPER 14H,7056
9.167,COOPER 12H,6360
9.167,COOPER 14H,7056
9.208,COOPER 12H,6384
9.208,COOPER 14H,7056
9.250,COOPER 12H,6264
9.250,COOPER 14H,7008
9.292,COOPER 12H,6192
9.292,COOPER 14H,7008
9.333,COOPER 12H,6240
9.333,COOPER 14H,7008
9.375,COOPER 12H,6096
9.375,COOPER 14H,7008
9.417,COOPER 12H,6192
9.417,COOPER 14H,7152
9.458,COOPER 12H,6096
9.458,COOPER 14H,7224
9.500,COOPER 12H,6168
9.500,COOPER 14H,7056
9.542,COOPER 12H,6120
9.542,COOPER 14H,7152
