AUTOMATION_NAME,API_NO14,Flowback DateTime,Days Online,Hours Online,Hours Producing,Days Producing,PROD_OIL_HR,PROD_WTR_HR,TOTAL_GAS,GAS_24HR,Choke1,Choke2,TBG_PRESS,CSG_PRESS,PROD_SAND,PROD_SAND_VOL,CHLORIDES_PPM,DHG_PRES,HGDRN_BRWN_FBHP,BEGGS_BRILL_FBHP,PETEX2_FBHP,PETEX5_FBHP,FBHP,Gradient,Oil PI,Liquid PI,INITIAL_PRESSURE,date_number,new_date,FORMATION,COLOR,PROP
COOPER5W-15H,4.24E+13,43469.375,0.791666667,19,18,0.75,16,97,653,653,22,,0,3045,N,0,0,7120.3,7202.1,7208,7297.5,7202.1,7397,0,1.132743363,8,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.41667,0.833333333,20,19,0.791666667,17,107,527,527,22,,0,3045,N,0,0,7116.57,7293.1,7297.8,7371,7293.2,7393,0,1.189504373,8.67638484,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.45833,0.875,21,20,0.833333333,15,105,709,709,22,,0,3045,N,0,0,7113.34,7209.3,7212.5,7300.1,7209.3,7390,0,1.040462428,8.323699422,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.5,0.916666667,22,21,0.875,16,101,624,624,22,,0,3045,N,0,0,7109.89,7229.8,7234.6,7320,7229.8,7387,0,1.100286533,8.045845272,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.54167,0.958333333,23,22,0.916666667,17,99,684,684,22,,0,3045,N,0,0,7106.51,7192.2,7197,7286.2,7192.2,7383,0,1.155807365,7.886685552,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.58333,1,24,23,0.958333333,18,104,741,741,22,,0,3045,N,0,0,7103.33,7182.4,7184.9,7273.5,7182.4,7380,0,1.213483146,8.224719101,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.625,1.041666667,25,24,1,17,101,679,679,22,,0,3045,N,0,0,7100.93,7201.7,7206,7293.7,7201.7,7378,0,1.139664804,7.910614525,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.66667,1.083333333,26,25,1.041666667,19,96,749,749,22,,0,3045,N,0,0,7063.07,7146.3,7150.9,7243.3,7146.3,7340,0,1.151515152,6.96969697,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.70833,1.125,27,26,1.083333333,31,191,1080,1080,26,,0,3035,N,0,0,7024.41,7261.1,7260.9,7312.1,7261.1,7301,0,1.710344828,12.24827586,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.75,1.166666667,28,27,1.125,37,197,956,956,26,,0,3030,N,0,0,7008.33,7298.1,7302.9,7341.8,7298.1,7285,0,1.968957871,12.45232816,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.79167,1.208333333,29,28,1.166666667,43,178,1134,1134,26,,0,3010,N,0,0,6996.77,7190.7,7195,7239.1,7190.7,7274,0,2.233766234,11.48051948,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.83333,1.25,30,29,1.208333333,41,177,1043,1043,26,,0,3000,N,0,0,6987.38,7204.4,7209,7252.3,7204.4,7264,0,2.084745763,11.08474576,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.875,1.291666667,31,30,1.25,45,185,1076,1076,26,,0,2990,Y,0.25,0,6977.8,7200.1,7205,7244.6,7200,7255,0,2.245322245,11.47609148,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.91667,1.333333333,32,31,1.291666667,44,184,1132,1132,26,,0,2980,Y,0.25,0,6969.87,7173,7177.6,7219.6,7173.1,7247,0,2.159509202,11.19018405,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.95833,1.375,33,32,1.333333333,46,179,1098,1098,26,,0,2975,Y,0.25,0,6961.97,7166.6,7171.5,7212.2,7166.6,7239,0,2.221327968,10.86519115,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470,1.416666667,34,33,1.375,45,184,1125,1125,26,,0,2970,Y,0.25,0,6954.48,7164.6,7169.3,7210.4,7164.6,7231,0,2.138613861,10.88316832,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.04167,1.458333333,35,34,1.416666667,43,180,1007,1007,26,,0,2965,Y,0.25,24268,6947.34,7184.5,7189.5,7229.7,7184.5,7224,0,2.015625,10.453125,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.08333,1.5,36,35,1.458333333,44,183,889,889,26,,0,2960,Y,0.25,24268,6940.65,7217.4,7222.4,7258.4,7217.4,7218,0,2.038610039,10.51737452,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.125,1.541666667,37,36,1.5,46,181,987,987,26,,0,2955,Y,0.5,24268,6934.16,7180.7,7185.7,7223.4,7180.7,7211,0,2.102857143,10.37714286,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.16667,1.583333333,38,37,1.541666667,45,179,1102,1102,26,,0,2955,Y,0.5,24268,6929.15,7145.5,7150.2,7191.8,7145.5,7206,0,2.037735849,10.14339623,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.20833,1.625,39,38,1.583333333,44,183,1067,1067,26,,0,2950,Y,0.5,24268,6922.7,7158.3,7163.1,7203.7,7158.3,7200,0,1.970149254,10.1641791,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.25,1.666666667,40,39,1.625,46,178,1005,1005,26,,0,2950,Y,0.5,24268,6917.48,7164.8,7169.8,7208.5,7164.8,7194,0,2.036900369,9.918819188,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.29167,1.708333333,41,40,1.666666667,45,175,1132,1132,26,,0,2945,Y,0.5,24268,6912,7118.6,7123.2,7166.4,7118.6,7189,0,1.97440585,9.652650823,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.33333,1.75,42,41,1.708333333,47,173,1097,1097,26,,0,2945,Y,0.5,24268,6906.62,7123.7,7128.6,7169.9,7123.7,7184,0,2.043478261,9.565217391,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.375,1.791666667,43,42,1.75,48,176,1067,1067,26,,0,2940,Y,0.5,24268,6900.76,7133,7137.9,7177.3,7133,7178,0,2.064516129,9.634408602,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.41667,1.833333333,44,43,1.791666667,48,174,1127,1127,26,,0,2940,Y,0.5,24268,6895.25,7112.3,7117.2,7158.3,7112.3,7172,0,2.042553191,9.446808511,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.45833,1.875,45,44,1.833333333,52,193,1244,1244,26,18,0,2940,Y,0.5,24268,6879.75,7120.5,7125.4,7163,7120.6,7157,0,2.155440415,10.15544041,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.5,1.916666667,46,45,1.875,58,215,1461,1461,26,20,0,2880,Y,1,24268,6824.59,7051.5,7055.8,7091,7051.5,7101,0,2.192125984,10.31811024,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.54167,1.958333333,47,46,1.916666667,97,248,1826,1826,26,20,0,2850,Y,1,24268,6805.05,7014.6,7019.5,7041.5,7014.6,7082,0,3.559633028,12.66055046,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.58333,2,48,47,1.958333333,82,251,1421,1421,26,20,0,2840,Y,1.5,24268,6793.97,7078.9,7083.9,7106.3,7078.9,7071,0,2.959398496,12.01804511,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.625,2.041666667,49,48,2,68,252,1249,1249,26,20,0,2835,Y,1.5,24268,6783.36,7110.4,7115.4,7139.5,7110.4,7060,0,2.414201183,11.36094675,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.66667,2.083333333,50,49,2.041666667,66,258,1382,1382,26,20,0,2825,Y,1.5,24268,6772.28,7084.5,7089.5,7115.2,7084.5,7049,0,2.305676856,11.31877729,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.70833,2.125,51,50,2.083333333,69,253,1189,1189,26,20,0,2815,Y,1.5,24268,6761.94,7102.6,7107.6,7130.7,7102.6,7039,0,2.3758967,11.08751793,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.75,2.166666667,52,51,2.125,66,251,1264,1264,26,20,0,2810,Y,1.5,24268,6751.14,7081.3,7086.3,7111.3,7081.3,7028,0,2.237288136,10.74576271,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.79167,2.208333333,53,52,2.166666667,68,253,1311,1311,26,20,0,2805,Y,1.5,24268,6740.68,7069.8,7074.8,7099.6,7069.8,7018,0,2.272980501,10.72980501,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.83333,2.25,54,53,2.208333333,67,255,1265,1265,26,20,0,2800,Y,1.5,24268,6731.74,7076.7,7081.7,7106,7076.7,7009,0,2.211829436,10.62998624,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.875,2.291666667,55,54,2.25,68,248,1187,1187,26,20,0,2790,Y,1.5,24268,6724,7070.8,7075.8,7099.5,7070.8,7001,0,2.220408163,10.31836735,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.91667,2.333333333,56,55,2.291666667,66,247,1332,1332,26,20,0,2785,Y,1.5,24268,6716.77,7036.7,7041.7,7067.9,7036.7,6994,0,2.134770889,10.12398922,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43470.95833,2.375,57,56,2.333333333,66,251,1247,1247,26,20,0,2780,Y,1.5,24268,6708.29,7054.3,7059.3,7084,7054.3,6985,0,2.10918775,10.13049268,7736,43470,1/5/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471,2.416666667,58,57,2.375,65,249,1146,1146,26,20,0,2775,Y,1.5,24268,6699.97,7066.2,7071.2,7095.1,7066.2,6977,0,2.055335968,9.928853755,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.04167,2.458333333,59,58,2.416666667,66,247,1253,1253,26,20,0,2770,Y,1.5,24268,6693.7,7036.9,7042,7067.2,7037,6971,0,2.070588235,9.819607843,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.08333,2.5,60,59,2.458333333,67,245,1153,1153,26,20,0,2765,Y,1.5,24268,6686.22,7048,7053.1,7076.9,7048,6963,0,2.080206986,9.686934023,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.125,2.541666667,61,60,2.5,67,246,1115,1115,26,20,0,2765,Y,1.5,24268,6677.99,7056.9,7061.9,7085.1,7056.9,6955,0,2.058898848,9.6184379,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.16667,2.583333333,62,61,2.541666667,71,247,1458,1458,26,20,0,2755,Y,1.5,24268,6670.64,6981.3,6986.3,7012.4,6981.3,6948,0,2.162436548,9.685279188,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.20833,2.625,63,62,2.583333333,65,253,1229,1229,26,20,0,2750,Y,1.5,24268,6664.03,7030.7,7035.7,7060.3,7030.7,6941,0,1.962264151,9.6,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.25,2.666666667,64,63,2.625,69,251,1326,1326,26,20,0,2745,Y,1.5,24268,6656.86,7003,7007.9,7032.8,7003,6934,0,2.064837905,9.57605985,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.29167,2.708333333,65,64,2.666666667,70,249,1403,1403,26,20,0,2740,Y,1.5,24268,6649.15,6979.9,6984.9,7010.6,6979.9,6926,0,2.074074074,9.451851852,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.33333,2.75,66,65,2.708333333,69,247,1258,1258,26,20,0,2735,Y,1.5,24268,6641.43,6999.7,7004.7,7029.1,6999.7,6918,0,2.024449878,9.271393643,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.375,2.791666667,67,66,2.75,69,245,1397,1397,26,20,0,2725,Y,1.5,24268,6635.15,6959.6,6964.6,6990.9,6959.6,6912,0,2.009708738,9.145631068,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.41667,2.833333333,68,67,2.791666667,68,247,1409,1409,26,20,0,2720,Y,1.5,24268,6628,6955.6,6960.5,6987.1,6955.6,6905,0,1.963898917,9.097472924,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.45833,2.875,69,68,2.833333333,70,245,1253,1253,26,20,0,2720,Y,1.5,24268,6621.35,6982.2,6987.2,7011.4,6982.2,6898,0,2.00477327,9.021479714,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.5,2.916666667,70,69,2.875,69,242,1298,1298,26,20,0,2715,Y,1.5,24268,6594.41,6964,6969,6994.4,6964,6871,0,1.914450867,8.628901734,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.54167,2.958333333,71,70,2.916666667,104,319,2130,2130,26,26,0,2650,Y,1.5,24268,6543.27,6881.4,6886.4,6905.3,6881.4,6820,0,2.72489083,11.08296943,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.58333,3,72,71,2.958333333,109,310,3102,3102,26,26,0,2630,Y,1.5,24268,6526.24,6715.2,6740.9,6742.3,6715.2,6803,0,2.803858521,10.77813505,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.625,3.041666667,73,72,3,81,291,2160,2160,26,26,0,2620,Y,1.5,24268,6512.2,6794.8,6808.1,6825.2,6794.8,6789,0,2.05279831,9.427666315,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.66667,3.083333333,74,73,3.041666667,87,285,2592,2592,26,26,0,2610,Y,1.5,24268,6500.39,6708.7,6724.9,6740,6708.7,6777,0,2.177267987,9.309697602,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.70833,3.125,75,74,3.083333333,82,294,2278,2278,26,26,0,2600,Y,1.5,24268,6488.2,6760.8,6778,6791.4,6760.9,6765,0,2.026776519,9.293511843,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.75,3.166666667,76,75,3.125,84,289,2369,2369,26,26,0,2590,Y,1.5,24268,6476.58,6728.6,6744,6759.5,6728.6,6753,0,2.0508647,9.10681587,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.79167,3.208333333,77,76,3.166666667,88,295,2231,2231,26,26,0,2585,Y,1.5,24268,6467.28,6757.3,6771.6,6786.2,6757.3,6744,0,2.129032258,9.266129032,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.83333,3.25,78,77,3.208333333,85,298,2310,2310,26,26,0,2575,Y,1.5,24268,6456.34,6738.3,6758.5,6768,6738.3,6733,0,2.033898305,9.164506481,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.875,3.291666667,79,78,3.25,86,294,2156,2156,26,26,0,2565,Y,1.5,24268,6446.62,6746.2,6760.2,6775.2,6746.3,6724,0,2.039525692,9.011857708,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.91667,3.333333333,80,79,3.291666667,84,298,2289,2289,26,26,0,2560,Y,1.5,24268,6437.19,6725.8,6746.6,6755.6,6725.8,6714,0,1.97260274,8.970645793,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43471.95833,3.375,81,80,3.333333333,87,296,2186,2186,26,26,0,2555,Y,1.5,24268,6427.9,6734.9,6749.4,6763.7,6735,6705,0,2.025218235,8.915615907,7736,43471,1/6/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472,3.416666667,82,81,3.375,88,298,2035,2035,26,26,0,2550,Y,1.5,24268,6418.79,6757.2,6766.8,6784.8,6757.2,6696,0,2.030769231,8.907692308,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.04167,3.458333333,83,82,3.416666667,89,302,2153,2153,26,26,0,2545,Y,1.5,24268,6408.66,6740.3,6752.6,6768.2,6740.4,6686,0,2.034285714,8.937142857,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.08333,3.5,84,83,3.458333333,88,299,2096,2096,26,26,0,2540,Y,1.5,24268,6400.29,6739,6750.4,6766.9,6739,6677,0,1.994334278,8.770538244,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.125,3.541666667,85,84,3.5,87,303,2255,2255,26,26,0,2535,Y,1.5,24268,6391.07,6715.1,6732.6,6743.8,6715.1,6668,0,1.95505618,8.764044944,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.16667,3.583333333,86,85,3.541666667,86,298,2341,2341,26,26,0,2530,Y,1.5,24268,6382.14,6687.9,6710.1,6717.5,6687.9,6659,0,1.91643454,8.557103064,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.20833,3.625,87,86,3.583333333,89,300,2189,2189,26,26,0,2520,Y,1.5,24268,6372.62,6706,6720.1,6734.1,6706,6650,0,1.966850829,8.596685083,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.25,3.666666667,88,87,3.625,88,301,2210,2210,26,26,0,2510,Y,1.5,24268,6365.47,6693.7,6709.6,6722.1,6693.8,6642,0,1.930530165,8.533820841,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.29167,3.708333333,89,88,3.666666667,90,294,2109,2109,26,26,0,2500,Y,1.5,24268,6356.87,6688.9,6700.5,6716.7,6688.9,6634,0,1.960072595,8.362976407,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.33333,3.75,90,89,3.708333333,92,291,2386,2386,26,26,0,2595,Y,1.5,24268,6348.87,6738.6,6754.7,6767.6,6738.6,6626,0,1.989189189,8.281081081,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.375,3.791666667,91,90,3.75,91,285,2275,2275,26,26,0,2590,Y,1.5,24268,6340.65,6740,6753.6,6769.1,6740.1,6618,0,1.953488372,8.071556351,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.41667,3.833333333,92,91,3.791666667,91,282,2381,2381,26,26,0,2585,Y,1.5,24268,6332.88,6713.1,6730.3,6742.8,6713.1,6610,0,1.939609236,7.95026643,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.45833,3.875,93,92,3.833333333,92,279,2264,2264,26,26,0,2580,Y,1.5,24268,6324.96,6721.7,6734.5,6750.8,6721.8,6602,0,1.947089947,7.851851852,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.5,3.916666667,94,93,3.875,93,277,2304,2304,26,26,0,2475,Y,1.5,24268,6316.97,6605,6618.2,6634.1,6605,6594,0,1.954465849,7.775831874,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.54167,3.958333333,95,94,3.916666667,93,275,2592,2592,26,26,0,2470,Y,1.5,24268,6309.26,6550.3,6562.3,6580.7,6550.4,6586,0,1.940869565,7.68,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.58333,4,96,95,3.958333333,95,273,2421,2421,26,26,0,2465,Y,1.5,24268,6301.47,6570,6582.4,6599.3,6570,6578,0,1.968911917,7.626943005,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.625,4.041666667,97,96,4,97,273,2283,2283,26,26,0,2460,Y,1.5,24268,6293.76,6588,6601.5,6616.3,6588,6571,0,1.998283262,7.622317597,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.66667,4.083333333,98,97,4.041666667,96,271,3172,3172,26,26,0,2455,Y,1.5,24268,6286.22,6439.6,6448.6,6471,6439.7,6563,0,1.964194373,7.508951407,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.70833,4.125,99,98,4.083333333,97,269,2493,2493,26,26,0,2450,Y,1.5,24268,6278.82,6537,6550.6,6566.3,6537,6556,0,1.972881356,7.444067797,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.75,4.166666667,100,99,4.125,97,266,3327,3327,26,26,0,2445,Y,1.5,24268,6271.16,6396.5,6405.4,6428,6396.6,6548,0,1.95959596,7.333333333,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.79167,4.208333333,101,100,4.166666667,98,274,2689,2689,26,26,0,2440,Y,1.5,24268,6263.95,6505.8,6521.5,6535.3,6505.8,6541,0,1.968200837,7.471129707,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.83333,4.25,102,101,4.208333333,105,285,2554,2554,28,28,0,2400,Y,1.5,24268,6227.1,6510,6528.8,6537,6510,6504,0,2.045454545,7.597402597,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.875,4.291666667,103,102,4.25,108,289,2810,2810,28,28,0,2385,Y,1.5,24268,6205.65,6465.6,6492.7,6492.7,6465.7,6483,0,2.068635275,7.60415004,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.91667,4.333333333,104,103,4.291666667,107,291,2439,2439,28,28,0,2375,Y,1.5,24268,6192.48,6513.1,6527.4,6539.1,6513.2,6469,0,2.026835043,7.539068666,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43472.95833,4.375,105,104,4.333333333,106,288,2503,2503,28,28,0,2370,Y,1.5,24268,6181.83,6492.7,6510,6519.2,6492.8,6459,0,1.992169146,7.404855129,7736,43472,1/7/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43473,4.416666667,106,105,4.375,107,290,2647,2647,28,28,0,2365,Y,1.5,24268,6171.06,6470.2,6492.3,6496.9,6470.2,6448,0,1.99378882,7.397515528,7736,43473,1/8/2019,WCA,blue,BP
