Wellname,Date_time,Temperature,Poly_1,SGx1000,Velocity_bph
Example 1h,5/22/2019 10:04:34 AM,20.912,1.473,1008.522,100
Example 1h,5/22/2019 10:04:39 AM,20.912,1.511,1008.68,100
Example 1h,5/22/2019 10:04:44 AM,20.912,1.518,1008.422,100
Example 1h,5/22/2019 10:04:49 AM,20.912,1.49,1008.242,100
Example 1h,5/22/2019 10:04:54 AM,20.912,1.467,1008.09,100
Example 1h,5/22/2019 10:04:59 AM,20.912,1.449,1008.159,100
Example 1h,5/22/2019 10:05:04 AM,20.912,1.457,1008.366,100
Example 1h,5/22/2019 10:05:09 AM,20.912,1.452,1007.861,100
Example 1h,5/22/2019 10:05:14 AM,20.912,1.422,1007.991,100
Example 1h,5/22/2019 10:05:19 AM,20.912,1.432,1008.223,100
Example 1h,5/22/2019 10:05:24 AM,20.912,1.435,1008.112,100
Example 1h,5/22/2019 10:05:29 AM,20.912,1.445,1008.127,100
Example 1h,5/22/2019 10:05:34 AM,20.912,1.464,1008.545,100
Example 1h,5/22/2019 10:05:39 AM,20.912,1.503,1008.621,100
Example 1h,5/22/2019 10:05:44 AM,20.912,1.524,1008.552,100
Example 1h,5/22/2019 10:05:49 AM,20.912,1.508,1008.276,100
Example 1h,5/22/2019 10:05:54 AM,20.912,1.488,1008.231,100
Example 1h,5/22/2019 10:05:59 AM,20.912,1.471,1008.215,100
Example 1h,5/22/2019 10:06:04 AM,20.912,1.48,1008.521,100
Example 1h,5/22/2019 10:06:09 AM,20.912,1.495,1008.448,100
Example 1h,5/22/2019 10:06:14 AM,20.912,1.482,1008.213,100
Example 1h,5/22/2019 10:06:19 AM,20.912,1.458,1008.171,100
Example 1h,5/22/2019 10:06:24 AM,20.912,1.419,1007.544,100
Example 1h,5/22/2019 10:06:29 AM,20.912,1.401,1007.975,100
Example 1h,5/22/2019 10:06:34 AM,20.912,1.421,1008.089,100
Example 1h,5/22/2019 10:06:39 AM,20.912,1.469,1008.637,100
Example 1h,5/22/2019 10:06:44 AM,20.912,1.477,1008.199,100
Example 1h,5/22/2019 10:06:49 AM,20.912,1.471,1008.111,100
Example 1h,5/22/2019 10:06:54 AM,20.912,1.457,1008.1,100
Example 1h,5/22/2019 10:06:59 AM,20.912,1.45,1008.294,100
Example 1h,5/22/2019 10:07:04 AM,20.912,1.458,1008.177,100
Example 1h,5/22/2019 10:07:09 AM,20.912,1.491,1008.639,100
Example 1h,5/22/2019 10:07:14 AM,20.912,1.515,1008.702,100
