AUTOMATION_NAME,Flowback DateTime,Days Online,Hours Online,Hours Producing,Days Producing,PROD_OIL_HR,PROD_WTR_HR,TOTAL_GAS,GAS_24HR,Choke1,Choke2,TBG_PRESS,CSG_PRESS,PROD_SAND,CHLORIDES_PPM,FBHP
Apollo 32h,7/27/2019,2.583333333,62,62,2.583333333,11,231,384,384,22,0,0,3700,0.75,14564,8436.45
Apollo 32h,7/27/2019,2.625,63,63,2.625,11,233,391,391,22,0,0,3695,0.75,14564,8431.41
Apollo 32h,7/27/2019,2.666666667,64,64,2.666666667,12,235,398,398,22,0,0,3690,0.75,14564,8424.45
Apollo 32h,7/27/2019,2.708333333,65,65,2.708333333,12,234,402,402,22,0,0,3690,1,14564,8423.19
Apollo 32h,7/27/2019,2.75,66,66,2.75,12,236,405,405,22,0,0,3685,1,14564,8418.85
Apollo 32h,7/27/2019,2.791666667,67,67,2.791666667,11,211,433,433,22,0,0,3690,1,14564,8404.87
Apollo 32h,7/27/2019,2.833333333,68,68,2.833333333,12,231,452,452,22,0,0,3690,1,14564,8412.94
Apollo 32h,7/27/2019,2.875,69,69,2.875,11,240,461,461,22,0,0,3675,1,14564,8403.72
Apollo 32h,7/27/2019,2.916666667,70,70,2.916666667,12,235,442,442,22,0,0,3670,1,14564,8397.01
Apollo 32h,7/27/2019,2.958333333,71,71,2.958333333,12,238,451,451,22,0,0,3670,1,14564,8397.4
Apollo 32h,7/28/2019,3,72,72,3,11,233,447,447,22,0,0,3665,1,14564,8391.66
Apollo 32h,7/28/2019,3.041666667,73,73,3.041666667,12,234,451,451,22,0,0,3665,1,14564,8389.84
Apollo 32h,7/28/2019,3.083333333,74,74,3.083333333,12,229,426,426,22,0,0,3660,1,14564,8385.85
Apollo 32h,7/28/2019,3.125,75,75,3.125,11,236,446,446,22,0,0,3660,1,14564,8388.66
Apollo 32h,7/28/2019,3.166666667,76,76,3.166666667,13,234,430,430,22,0,0,3655,1,14564,8381.39
Apollo 32h,7/28/2019,3.208333333,77,77,3.208333333,12,228,441,441,22,0,0,3655,1,14564,8377.61
Apollo 32h,7/28/2019,3.25,78,78,3.25,12,236,463,463,22,0,0,3650,1,14564,8374
Apollo 32h,7/28/2019,3.291666667,79,79,3.291666667,13,240,469,469,22,0,0,3635,1,14564,8358.71
Apollo 32h,7/28/2019,3.333333333,80,80,3.333333333,13,238,448,448,22,0,0,3630,1,14564,8355.8
Apollo 32h,7/28/2019,3.375,81,81,3.375,12,237,458,458,22,0,0,3620,1,14564,8345.24
Apollo 32h,7/28/2019,3.416666667,82,82,3.416666667,11,241,467,467,22,0,0,3610,1,14564,8337.85
Apollo 32h,7/28/2019,3.458333333,83,83,3.458333333,13,240,462,462,22,0,0,3600,1,14564,8324.59
Apollo 32h,7/28/2019,3.5,84,84,3.5,13,239,459,459,22,0,0,3590,1,14564,8314.34
Apollo 32h,7/28/2019,3.541666667,85,85,3.541666667,12,242,450,450,22,0,0,3450,1,14564,8178.41
Apollo 32h,7/28/2019,3.583333333,86,86,3.583333333,13,235,442,442,22,0,0,3400,1,14564,8123.19
Apollo 32h,7/28/2019,3.625,87,87,3.625,11,226,331,331,22,0,0,3440,1,14564,8180.67
Apollo 32h,7/28/2019,3.666666667,88,88,3.666666667,10,219,319,319,22,0,0,3500,1,14564,8241.43
Apollo 32h,7/28/2019,3.708333333,89,89,3.708333333,10,2110,294,294,22,0,0,3550,1,14564,9994.32
Apollo 32h,7/28/2019,3.75,90,90,3.75,9,206,280,280,22,0,0,3550,1,14564,8293.94
Apollo 32h,7/28/2019,3.791666667,91,91,3.791666667,10,221,323,323,22,0,0,3555,1.5,14564,8297.24
Apollo 32h,7/28/2019,3.833333333,92,92,3.833333333,10,232,331,331,22,0,0,3560,1.5,14564,8307.01
Apollo 32h,7/28/2019,3.875,93,93,3.875,11,238,364,364,22,0,0,3560,1.5,14564,8302.82
