Q_liq,psi,temp,gor,wcut,ID,TVD,fbhp
2376,329.5,100,1.449,0.595117845,6.094,10081,2922.3
2722,329.82,100,1.515,0.547024247,6.094,9897,2689.7
8426,331.29,100,1.4,0.901851412,6.094,10300,4264.13
2193,331.49,100,1.436,0.494300046,6.094,9937,2654.14
3738.6,333.25,100,3.15,0.823302841,6.094,9487,2432.58
2562,334.13,100,1.386,0.597189696,6.094,10081,2938.91
2845,334.87,100,1.318,0.53427065,6.094,9592,2753.16
2574,335.06,100,1.406,0.556721057,6.094,9684,2864.72
2883,335.5,100,1.435,0.548387097,6.094,9897,2708.05
3499.2,336.71,100,3.348,0.745313214,6.094,9510,1880.32
3010,338.02,100,1.493,0.535548173,6.094,9897,2686.85
2173,338.37,100,1.472,0.49792913,6.094,9937,2668.28
2898,340.68,100,1.519,0.547619048,6.094,9897,2709.95
3774.2,341.62,100,3.238,0.824439616,6.094,9487,2472.04
8507,342.35,100,1.39,0.90243329,6.094,10300,4289.4
2918,342.57,100,1.337,0.543865661,6.094,9592,2781.62
2524,343.41,100,1.451,0.603011094,6.094,9684,2930.05
2610,343.86,100,1.371,0.597701149,6.094,10081,2973.46
2258,345.92,100,1.448,0.508857396,6.094,9937,2689.21
2240,347.7,100,1.385,0.579464286,6.094,9638,2974.95
3301,349.48,100,1.364,0.53650409,6.094,9897,2707.98
2429,350.33,100,1.479,0.622066694,6.094,9684,2940.65
2659,352.39,100,1.386,0.59759308,6.094,10081,2993.51
4079.9,352.85,100,3.05,0.823549597,6.094,9487,2517.05
2282,352.98,100,1.506,0.514899211,6.094,9937,2702.41
7197,353.21,100,1.467,0.747672641,6.094,9892,6199.85
3082,353.66,100,1.276,0.545100584,6.094,9592,2815.22
8512,354.29,100,1.4,0.902608083,6.094,10300,4311.83
3313,358.82,100,1.442,0.541503169,6.094,9897,2726.2
5041,359.37,100,2.783,0.809363222,6.094,10282,3653.032
2103,359.38,100,1.477,0.482168331,6.094,9937,2787.68
2631,364.03,100,1.438,0.593690612,6.094,9684,2928.72
3290,364.39,100,1.513,0.549240122,6.094,9897,2748.22
2412,366.85,100,1.343,0.588723051,6.094,9638,2980.34
4194.7,366.95,100,3.049,0.819605693,6.094,9487,2570.17
8520,367.68,100,1.404,0.903286385,6.094,10300,4343.21
3235,368.83,100,1.235,0.547449768,6.094,9592,2856.69
2540,374.75,100,1.4,0.598425197,6.094,10081,3076
2634,375.62,100,1.46,0.589977221,6.094,9684,2942.08
2708,383.11,100,1.466,0.594903988,6.094,9684,2962.28
3528,383.99,100,1.503,0.560657596,6.094,9897,2795.88
8502,384.72,100,1.409,0.903434486,6.094,10300,4364.02
2370,387.9,100,1.473,0.573839662,6.094,9638,3013.71
2115,388.71,100,1.323,0.425531915,6.094,9937,2804.08
2605,391.66,100,1.359,0.598848369,6.094,10081,3095.8
2787,392.02,100,1.444,0.596340151,6.094,9684,2984.54
3620,393.37,100,1.47,0.556077348,6.094,9897,2824.27
2982,395.14,100,1.292,0.550301811,6.094,9592,2952.8
3197.5,395.46,100,3.028,0.74870993,6.094,9510,2144.79
2100,397.71,100,1.393,0.426190476,6.094,9937,2825.08
2823,400.12,100,1.448,0.59582005,6.094,9684,3003.18
2095,401.74,100,1.498,0.455369928,6.094,9937,2845.22
3612,402.71,100,1.504,0.555647841,6.094,9897,2856.86
2598,404.73,100,1.415,0.598152425,6.094,10081,3127.58
2227,406.63,100,1.367,0.497081275,6.094,9638,3010.01
2725,408.37,100,1.395,0.601100917,6.094,10081,3142.48
3503.9,409.46,100,3.058,0.814520962,6.094,9487,2741.23
2106,410.24,100,1.518,0.456790123,6.094,9937,2864.04
2869,410.4,100,1.466,0.599163472,6.094,9684,3025.48
3781,413.26,100,1.456,0.558582386,6.094,9897,2884.97
3202,413.35,100,1.237,0.554965646,6.094,9592,2985.57
8517,415.28,100,1.4,0.903134907,6.094,10300,4396.16
6048,416,100,1.322,0.813492063,6.094,10282,3825.62
3018,418.39,100,1.414,0.60139165,6.094,9684,3057.79
2188,418.41,100,1.501,0.461151737,6.094,9937,2884.24
2939,421.94,100,1.412,0.630826812,6.094,10081,3192
3202,422.86,100,1.282,0.55777639,6.094,9592,3028.32
3916,424.55,100,1.445,0.557456588,6.094,9897,2915.81
3551.3,425.56,100,2.954,0.76084814,6.094,9510,2163.57
2271,427.73,100,1.673,0.528401585,6.094,9937,2907.75
3077,427.83,100,1.373,0.597660058,6.094,9684,3077.29
3366,430.31,100,1.226,0.562091503,6.094,9592,3060.77
2912,431.43,100,1.334,0.605082418,6.094,10081,3223.29
4483,434.4,100,2.919,0.749498104,6.094,9510,2539.48
3283.8,435.08,100,4.122,0.809062671,6.094,9510,2193.46
4036,435.46,100,1.53,0.577799802,6.094,9897,2946.41
2260,437.19,100,1.541,0.476548673,6.094,9937,2932.22
3896.4,437.88,100,2.828,0.816060979,6.094,9487,2767.44
8788,440.14,100,1.428,0.904870278,6.094,10300,4462.66
2665,441.62,100,1.387,0.580863039,6.094,9638,3024.75
2856,442.44,100,1.546,0.603991597,6.094,9684,3126.31
3528.7,444.74,100,3.374,0.778473659,6.094,9510,2216.91
2835,444.94,100,1.406,0.605291005,6.094,10081,3251.92
2785,445.48,100,1.409,0.589587074,6.094,9638,3048.11
3820.1,446.03,100,3.001,0.818015235,6.094,9487,2796.22
2348,446.44,100,1.477,0.47274276,6.094,9937,2958.18
4230,448.44,100,1.501,0.588416076,6.094,9897,2983.24
3600,449.09,100,1.226,0.570833333,6.094,9592,3093.57
3660.4,454.23,100,3.023,0.756420063,6.094,9510,2245.8
3940.3,454.96,100,2.951,0.817704236,6.094,9487,2827.76
3011,456.11,100,1.343,0.604450349,6.094,10081,3279.43
3051,456.81,100,1.483,0.60603081,6.094,9684,3152.48
